USER,DATE,STAR,LIKE,TITLE,REVIEW
굳맨굿맨,2023-09-07 22:54:27-07:00,5,1,좋아요,아주 좋아오
짱구 아빠 엄마,2023-08-31 22:07:38-07:00,5,1,몰클잠바,가격대비 완전만족 사이즈색상 의류감촉 최고에요
거울공주2,2023-08-29 17:09:09-07:00,5,1,좋은 제품 저렴하게 잘 구매했네요,"제품이 다양하고 가격도 저렴해서 눈팅 자주하고 구매도 해봅니다
역시 물건 받아보니 믿음 가네요"
땡글이1225,2023-08-25 21:56:29-07:00,5,1,이쁘내요,감사합니다
차아암나,2023-08-24 22:38:13-07:00,1,0,0점이 없는게 아쉬움,"상품 6개 구매함 .
오배송 3건 포장불량 1건 
20일 걸려 받은 답변 . 
중간에서 업체와 연결하기에 도울수 있는 방법없음.
누락되었고 사이즈 품절이니 환불하거나 다른 사이즈로 받으라는 상담사의 답변. 

결론은  0점이 없는게 아쉬울 정도"
또이아띠,2023-08-17 17:50:15-07:00,2,0,제품 설명,제품 설명이 너무 아쉬워요  질문하기도 어렵고요
아오 접을까,2023-08-16 04:37:43-07:00,1,0,진짜 앱 사용성이 너무 구립니다,"모웹으로 갈수밖에 없는건 알겠는데 계속 쌓아서 무거워지는거 좀 해결해보세요
아니 뭐하나 제대로 눌러지는것도 없고 서버 꽉들어차서 렉 오지게 걸리고
ui는 뭐 그렇다 치고 제발 하단네비게이션에 빽키는 왜 만든겁니까 바로 뒤로가지도 않는거 답답하네요 진짜"
니우ㅗ뇽,2023-08-13 22:41:55-07:00,1,0,장난하나,진짜 취소반품비용으로 장사하나요? 말도안되는시스템. 후기보니 짭도 많은거같은데 다른어플 이용하시길
Seoho Hyesun,2023-08-01 07:17:30-07:00,5,1,정품 맞습니당,친구꺼랑 비교해보니까 정품 맞구용!!!!!!!!!생각보다 배송이 빨라서 좋아요 :) 적립금도 마니 쌓여서 개이득
텀블러12345,2023-08-01 03:57:07-07:00,3,1,배송,"당일출고 내뇽은 빼셔야겠어요~ 
일반 배송보다 느려요"
바보나이스,2023-07-26 23:12:28-07:00,5,1,귯,귯
Jumyoung Kwangsoo,2023-07-23 21:39:49-07:00,5,1,"카카페, 네페 됨","카카페, 네페 결제 되는게 신의 한수!! 특히 카카페 즉시할인 이벤트 할때 사면 완전 개이득이쥬"
Bomin Gunwoo,2023-07-21 22:11:57-07:00,5,1,숨은 보석을 발견할수있어요,구경을 찬찬히 하다보면 숨은 대박 제품을 발견할 수 있습니다 ㅋ 얼른 건져보세요
Kim Sunyoung 89,2023-07-21 22:11:56-07:00,5,1,신발은 항상 발란,명품 신발은 꼭 발란에서 구매해보세요
Grimmm Minjun,2023-07-21 22:11:54-07:00,5,1,와,명품쇼핑할때 실용적인 앱이라고 생각합니다. 나중에는 내몸사진 올리면 가상 피팅같은것도 되겠죠??ㅎㅎ
Sangjun Taehyun,2023-07-21 22:11:53-07:00,5,1,배송부터 확실,정말 빠르게 제품 받아 볼 수 있습니다. 진짜 배송 걱정은 없어요
Chang Gwak,2023-07-21 22:11:52-07:00,5,1,신발은 언제나 발란,요즘 신고 다니는 신발은 전부 발란에서 샀습니다. 100% 정품
Hyesuk Jungran,2023-07-21 22:11:50-07:00,5,1,사이즈 겟,프라다 구두 사이즈 다 없었는데 발란에서 찾았습니다. 감사감사요!
Wonhee Hyojin,2023-07-21 22:11:49-07:00,5,1,돌돌 발란,여러 직구앱들 돌아다녀봤는데 결국 발란입니다 ㅋㅋ
Cho Yunkyoung,2023-07-21 22:11:47-07:00,5,1,검색기능 좋아요,쉽게 원하는 제품들을 검색할 수 있어요. 다양한 디자인들도 쉽게 확인가능합니다
Sin Nuree,2023-07-21 22:11:46-07:00,5,1,믿고삽니다,믿을만한 어플 입니다. 환불정책도 잘되어 있어서 걱정없이 제품 사고 있습니다. 다 정품이구요
Youngshik Wonhee,2023-07-21 22:11:44-07:00,5,1,최저가 배송 맘에 들어요,최근에 발란만 주로 애용하고 있습니다. 배송이랑 가격 측면이 참 좋으네요
Yang Jo,2023-07-21 22:08:33-07:00,5,1,싸게 샀습니다.,폴스미스 가방 진짜 저렴하게 구입했습니다. 재질도 생각한것보다 고급스럽고 정품 확실해서 완전 득템요
Jo Hyunjoo,2023-07-21 22:08:32-07:00,5,1,아미 티셔츠 삽니다,"아미 하트티셔츠 구매했구요, 덕분에 좋은 가격에 빠른배송으로 받아볼 수 있었습니다"
