USER,DATE,STAR,LIKE,TITLE,REVIEW
꺄오 굿굿,2023-09-10 04:39:35-07:00,5,0,ㅡ,좋아요
아시우사이,2023-09-06 20:17:17-07:00,2,0,결제,마지막 결제가 안 되는데 무슨 일인가요 ?
ilillililll,2023-08-30 03:44:53-07:00,2,0,재고 확인좀,재고 확인좀 하면 좋겠네요 아무리 해외배송이어도 몇번이고 언제까지 주문 후에 취소당하는건 좀 .. 시간 아까워서라도 안 쓰고 싶어져요
에쉬2,2023-08-17 18:38:48-07:00,5,0,대박 좋네요,"사이즈 안 맞아서 교환 신청 했는데
알아서 수거도 진행해 주시고 교환품도 먼저 보내 주시고
고객 만족이 뭔지 아는 머스트잇이네요"
안되면죽음뿐,2023-08-13 07:09:32-07:00,1,0,오류 고쳐주세요,방금 애플로그인 하려고 했는데 정보 조회에 실패했다고 나오던데 왜 그런지 잘 모르겠네요…
Atdhfid,2023-08-13 02:06:43-07:00,1,0,비번찾기,"아이디,개인정보 다 맞게쳐도 인증이 안된다고만 계속하는데 그냥 앱 이용하지 말라는 건가요?"
재생재생재생,2023-08-13 00:56:19-07:00,4,0,로그인,로그인이 아예 안되는데 이게 어떻게 된 걸까요..? 주문 정보 확인해야 되는데 확인할 수가 없어요ㅠㅠ 오류 좀 해결해주세요
콩냥콩눙,2023-08-06 21:54:17-07:00,5,0,싸고좋아요,역시 머스트잇
christinasinfsong,2023-07-27 01:42:41-07:00,5,0,빨라요,배송도 빠르고 무엇보다 싸고 예쁜게 많아요
젙아ㅏ,2023-07-26 22:43:33-07:00,5,0,굿,굿
펴지훈,2023-07-19 19:25:58-07:00,1,0,최악이에요,신발 시키려고 하는데 사이즈가 품절됐으면 품절됐다고 표시를 해 둬야하는데 그런거 없어서 일주일 기다리고 취소하고 또 시켰는데 또 품절됐던거여서 일주일 기다리고 또 취소 했습니다 최악이네요
바다다22,2023-06-26 19:03:27-07:00,5,0,브랜드 갖고 싶은걸 득템!,"조금운 원하는 가격에 
원하는 디자인 샵 등등을 알수 있고 볼 수 있어서
너무너무 좋아용
배송도 꼼꼼하게 가능해서 넘넘 잘 이용하고 있오용"
요쿄호,2023-06-25 16:00:31-07:00,2,0,에러가 너무 심해요..,"상품 불문 결제 창으로 넘어가려하면 “요청하신 페이지를 찾을수가 없습니다, 페이지의 주소가 잘못 입력되었거나 변경 혹은 삭제로 인해~~~” 오류가 떠요.. 전 상품 다 이러는거보니 어플 문제인것같은데 고쳐주세요 .. 아무것도 못사고있음 ㅠㅠ"
치토스토스,2023-05-28 09:06:05-07:00,1,0,너무 좋아요,명품옷살때
오어어너ㅓ,2023-05-10 08:16:54-07:00,5,0,명품 쇼핑몰 중 가장 괜찮음,"가격이 가장 저렴한거 같아요 ~
물건도 다양하고"
안녕 프란체스카,2023-05-09 16:44:33-07:00,1,0,로그인,뮤슨 들어갈때마다 로그인 퓰릴거면 멋하러 앱깔아서 쇼핑할까요???????????
2029kckd,2023-05-08 19:13:34-07:00,5,0,좋습니다,정품을 좀더 저렴히 살수 있어서 좋아요
성한시,2023-05-07 01:55:16-07:00,5,0,메종키즈네,셔츠를 너무 좋은 가격으로 싸게 구매해서 딸에게도 사주었어요
낙네,2023-05-01 11:44:09-07:00,5,0,좋아요,긋
i2kino,2023-04-29 11:46:06-07:00,1,0,마이페이지 금액오류,제가 구매한금액이 20만원+배송비5만원추가인데 왜 마이페이지가보니까 18맘원으로되잇죠..? 나중에 구매인증하거나 할때 좀 그럴거같은데;;
개꾸르띠ㅜ,2023-04-04 06:24:42-07:00,5,0,굿,상품품질좋아요ㅎ
수블리블ㄹ리,2023-04-03 23:25:16-07:00,5,0,좋아요 맨날여기서 만 사요,"딴데도 많은데 머스트잇이 할인율ㅇ이좋고 
종류도 많아서자주애용중입니다"
cowboy38,2023-03-26 05:11:40-07:00,5,0,굿,좋아여 좋아
연꽃의백미,2023-03-25 03:44:43-07:00,5,0,.,대놓고 편집샵이라 달고 가품을 판매하는데 구매 처리 후 돌려서 문의하니까 품절및 일방적인 환불처리 해버리고 추가 문의에는 답장도 안하네요 가품시 200% 보장이라고 써놓고서 판매하는 편집샵인데도 이따윈데 어케 믿고 사용할까요 이런걸 한두번 발견한것도 아니고 만약 구매 후에 아무것도 모른체 호구 맞는게 아니라 상품 수령 후에 가품 아니냐고 문의시에 대처도 후에 머스트잇 자체에 문의하게 된다 해도 문구처럼 보장을 해줄지 저희 편에 서줄지 의심이 드네요 이제 사용 못하겠어요 골라 사는것도 한두번이지 귀찮아도 백화점 다녀야겠어요.. 다들 잘 골라사세요 사이즈든 차라리 전문레플리카샵을찾으시던가
나나ㅓ너는,2023-03-12 19:49:50-07:00,5,0,Dd,Dddd
찬스당,2023-03-09 18:29:12-07:00,5,0,머스트잇 좋아요,짱좋아요
오통ㅎ,2023-03-05 04:10:05-07:00,5,0,ㅋ,ㅋ
Fjepeowj,2023-02-27 23:15:28-07:00,5,0,이응이응,이응이응이응이응
어느낭,2023-02-24 11:50:16-07:00,5,0,좋아요,원하는 제품을 금방 찾을수있고 구매할수있어 좋습니다
헥스3752,2023-02-22 19:15:37-07:00,5,0,아주 좋습니다,좋아요
딸복킹,2023-02-21 05:12:42-07:00,5,0,이쁘고 좋아요,너무 좋아요!!
어어내마텅,2023-02-16 23:11:42-07:00,1,0,구매,구매버튼을 누르면 무한로딩만 되고 구매창으로 넘어가질 않아요
대구룽,2023-02-13 00:13:58-07:00,4,0,할인 제품이 업데이트되어 매일 보는 맛이 있습니다,핫제품 보는 재미로 보는중
박만남,2023-01-29 22:39:57-07:00,1,0,리뷰 수정좀 할수 있게 바뀌면 좋겠어요.,리뷰 수정하기가 없어서 엄청 불편하네요.아주 gr같이 만들었어요.아주 🐶같은 앱
yummynim,2023-01-28 06:03:41-07:00,5,0,yummynim,친절하고 빨라요!
가재맨ㄴ,2023-01-28 02:44:07-07:00,1,0,쓰레기,애플로 로그인해야되는데 로그인 버튼 눌러도 안되고 뒤로가는거도 없어서 계속 껐다 키고 중간에 계속 터치도 안됨 ㅋㅋ 그리고 반품비가 만원이상 ㅋㅋ 쓰레기앱 걍 오케이몰 쓰셈 정품인지도 불안함
12345jse,2023-01-27 21:15:32-07:00,5,0,굿,좋네여
ZZZZ잠와,2023-01-25 03:23:54-07:00,1,0,개 쓰레기같은 어플 당장 내려라,토할 거 같음
무우우우응,2023-01-24 17:09:24-07:00,5,0,여타 쇼핑앱 중 가장 군더더기 없는듯해요,좋아용
망등아ㅑ,2023-01-21 04:10:22-07:00,5,0,잘쓸고있음,맘에듬
나나노노노아아,2023-01-18 16:50:50-07:00,1,0,다신 안 쓸 앱(시간낭비임),"이 앱 판매자 관리 안함. 선물용으로 구매한 제품 배송지연알림막 띡 오더니 결제한지 1달되서 도대체 언제 오냐고 하니, 품절이라고 대기하실거냐고 취소하실거냐고 물음. 배송지연보상금? 품절지연 할인쿠폰? 줘도 안씀. 1달을 매일매일 배송상태 확인하느라 어플에 출첵했음. 선물로 줄사람한테도, 받는사람한테도 한달은 너무 긴 시간임. 진짜 말도안되는 어플임. 시간낭비 하고싶지않으면 절~~대 쓰지마세요. 판매 MoMO20O4였음"
눈웃음19,2023-01-15 22:40:25-07:00,5,0,배송빠르다더마왜케느려요,어플 자체는 나쁘지은흠
State Socialism,2023-01-15 09:26:41-07:00,4,0,애플로그인 안됨,빨리 해결해주세요 애플 로그인이 안됩니다
mieoeo,2023-01-12 01:34:56-07:00,1,0,로그인이 안됨,어쩔
팝으빅대장,2023-01-05 06:09:46-07:00,5,0,긋,굿임다
거쌍,2022-12-31 21:33:04-07:00,4,0,마스트잇 사용후기,"칼하트 트래퍼햇을 주문 했는데, 주문하고 나서 가격대가 바로 올라서 취소 됐네요ㅠㅠ 이게 맞는 거겠죠~?"
오오오옹ㅇㅇ아앙,2022-12-27 01:12:41-07:00,5,0,짱,짱짱
domakegreat,2022-12-26 21:31:39-07:00,1,0,판매자 취소 조심하세요.,재고 있다고 표시된 상품을 구매하고 일주일 가까이 기다려도 안오길래 보니깐 판매자 일방적 취소로 환불 기간 3일까지 총 10일 동안 구매도 못하는 상품때문에 스트레스 받았습니다. 구매자에게 매우 불리한 시스템이니 다른 어플 이용하세요.
dcjeios,2022-12-26 02:25:43-07:00,5,0,ㄱ,ㅇㄱ
다다다우우우닝,2022-12-25 19:45:55-07:00,5,0,굿,굿굿
미노콩,2022-12-25 17:46:55-07:00,5,0,굿,굿
백동국,2022-12-25 00:13:02-07:00,5,0,정말 좋아요 ㅎ,모든 명품은 여기서 다 살 수 있네요 ㅎㅎㅎ
여뇨요여댜,2022-12-24 07:01:47-07:00,5,0,좋아요,굳
Zgoodzzzz,2022-12-19 04:30:21-07:00,5,0,굿,굿굿국
오델리앙,2022-12-03 02:42:31-07:00,4,0,좋아요~,자주 방문하고 있어요
dkebsu,2022-12-02 03:18:34-07:00,5,0,명품은 머스트잇~!,판매자와 채팅할 수 있는게 좋아요!
브라운이 $ 김여사,2022-11-30 04:55:30-07:00,5,0,굿,굿
끼울2,2022-11-28 22:16:15-07:00,5,0,kk,kk
윤자윤,2022-11-27 21:00:31-07:00,5,0,윤청짱,윤철이 조앙
unnnion,2022-11-22 05:20:18-07:00,1,0,개 느려서 들어가지질 않음,태어나서 이딴 앱은 처음 봄
이빨스티커제발,2022-11-16 23:08:46-07:00,1,0,역대 최악의 앱,사용할때마다 애플로그인 문제생겨서 몇십분을 고생해야하고 앱을 어떻게 만들면 이렇게 못만드나요
challengejjh,2022-11-15 22:11:52-07:00,5,0,굿뜨!!,굿
김므서므준,2022-11-10 05:31:16-07:00,5,0,다른 곳과 다른 곳,다른 곳과는 다르게 넘버원 이라는 타이틀이 어울리다고 생각합니다.
ñakia,2022-11-06 21:25:26-07:00,5,0,겟잇,"할인 , 다양성 좋음"
NaDaRaGo,2022-11-04 23:08:57-07:00,5,0,굿,굿굿
나나ㅑ냐ㅗ즆ㅈ,2022-11-02 22:42:03-07:00,1,0,아니 계속 로딩 뜨고 왜이렇게 느리지,진짜 지웠다가 다시 깔아도 똑같네요 ㅋㅋ
황신현,2022-11-01 18:04:52-07:00,5,0,굿,최고에요
마르셀로,2022-10-31 19:53:52-07:00,1,0,서버 렉,사려던 마음도 싹 사라짐 서버 무한 로딩에 로그인도 자꾸 튕김 그냥 기본조차 안되있는 어플. 사려 해도 서버가 팅기는데 무슨 옷을 팔겠다고 ㅋㅋ 광고 전에서버나 잘 챙기세요
불리라,2022-10-27 22:49:16-07:00,5,0,잘쓰고있어요,"다양한 물건 저렴히
어렵게 구할물건들도 종종있어서 득보고있네요"
재민영훈,2022-10-26 19:46:22-07:00,5,0,좋은 앱,"다많은 제품 보여주세요~~
감사합니다"
내폴더,2022-10-24 23:49:09-07:00,1,0,입점사 관리즘요 제발…,"슈퍼스타 구매 했는데 아…무슨 검수도 안 하고
보내는 곳이 어디있나요????….상품 하자가 있는데
그냥 검수도 안 하고 보내네요
출근 길에 발견해서 1회 착용 때문에 환불도 안 되고 이런 진짜……하……"
":::/:/;-/,,..--",2022-10-24 16:45:18-07:00,2,0,로그인,살짝만 사용 안 하면 로그인 다시 하라고 뜨는 거 짜증나네요 로그인 다시 할라고 비밀번호 치는데 뭔 확인 버튼만 누르면 비번이 지 혼자 두글자는 더 늘어나더니 비밀번호 틀렸다는 오류까지 나고 비번 찾을라고 인증번호 받기 눌렀더니 뭔 인증번호 하나 오는데 1분이나 걸리네요?
Mark___Kim,2022-10-23 11:52:54-07:00,1,0,대체 언제 배송,"2주 내내 배송 준비 중???
주문 상태 좀 더 디테일하게 좀,,,,,
문의하면 계속 본질에 벗어나는 답변만 하고 ㅡㅡ"
ㅓ야어겅,2022-10-19 20:43:38-07:00,5,0,어러러차라카,오탸캐므터턑
bamtoro,2022-10-18 06:35:32-07:00,1,0,한 달 가까이 국내 배송중은 무슨 의미인지?,"8월31일 주문한 제품이 몇 주 동안 계속 국내 배송중으로 배송정보가 뜨고 있는데 한땀 한땀 꿰매는 수제 양복 만들듯이 한걸음 한걸음 조심스럽게 배송하는건지요?
아무런 해명이나 사과 통지도 없어 고객센터에 접수했더니 고객선테 마저도 느릿느릿 일주일이나 되서야 미안하다는 답변이나 보내고…
대단한 업체인듯!"
ㅏ어우주어텅,2022-10-15 09:57:21-07:00,1,0,아아아아아아아아아아아아아ㅏㄱ주뭄이 안된다고요,진짜 너무 화가나요 왜 우편번호찾기 버튼이 안눌리냐고요ㅠㅠㅠㅠㅠㅠ주소 입력이 안되서 주문을 못하잔아요
이천도마뱀,2022-10-14 18:04:37-07:00,5,0,너무 좋아요,배송도 빠르고 정품이고 너무 좋습니다.
기뫠이,2022-10-14 08:38:02-07:00,5,0,ㅇ어쥬좋아요,아주좋아요
똑띠일좀,2022-10-11 04:04:42-07:00,1,0,재고부족,"머스트잇측에서 재고부족으로 판매취소되면 
달랑 5프로 쿠폰 한달 기간짜리줘놓고 
첫구매 쿠폰 기회는 날라갑니다."
배그이름:유승헌임,2022-10-10 17:48:45-07:00,5,0,좋아요,"너무 좋아용
맘에 들어용"
분당교회보람,2022-10-10 06:14:54-07:00,1,0,오류,"오류가 너무 심해요 ㅠ
물건 볼려고 누르면 하얀색 바탕화면 나오고 
구매할려고 시간 투자해가면서 보는데 계속 오류 걸리니깐 앱만 껏다 켯다 무한반복.. 설치한지 몇일되지도 않았는데..답답"
RoserocoNewYork,2022-10-08 17:49:29-07:00,5,0,좋아요,좋아요
맨날올인,2022-10-06 17:36:19-07:00,5,0,아주좋아요,어플도 잘되어있고 쇼핑하기도 편해요
봄캘린더 체고얌,2022-10-06 05:25:56-07:00,3,0,아이폰 로그인,"어이폰으로 로그인해서 주문했는데 
배송 보려니까 아이폰으로 로그인 하기 눌러도 안돼서 계속 시도 해봐도 안되는데 
오류라면 빨리 시정해주시길 바랍니다"
롤박,2022-09-30 18:55:30-07:00,5,0,굿,굿
농욱농,2022-09-30 01:18:19-07:00,2,0,맨날 자동으로 로그아웃,"자동로그인 걸어놔도 매번 로그아웃되는데다가
심지어 얼마전부턴 업데이트해도 카카오톡으로
로그인이 안되는현상이있어서 사고싶은게 있어도
못사고있네요 카카오톡 로그인 되게 해주세요"
엠티유저,2022-09-29 08:08:19-07:00,5,0,좋아요,옷 사 입기 좋은 어플
쭌쭌16,2022-09-27 00:07:09-07:00,5,0,잘사용중입니다,앱 깔끔하고 조아요
쓩 ㅜ,2022-09-23 02:33:19-07:00,1,0,사진리뷰,작성하려고 하는데 사진 선택하고 체크버튼 눌러도 반응이없어요
신겅즈,2022-09-21 19:28:27-07:00,5,0,할인혜택,좋아요
일레노,2022-09-19 04:44:59-07:00,5,0,굿굿,좋아용
임성민❤️💖,2022-09-18 21:56:28-07:00,5,0,좋음,굿
kjiivcd,2022-09-13 06:01:44-07:00,5,0,머스트잇 평가,배송도 빠르고 여러 상품을 한번에 볼수있어 너무좋고 할인 이런게 잘 볼수있어 너무좋네요
ㄹㄹ고ㅗ556,2022-09-12 09:55:36-07:00,5,0,ㄲㅇㄹㅎ핳ㄹ,ㅊㅊ
미니어아어어,2022-09-09 21:49:51-07:00,3,0,ㅎㅇ,ㅎㅇ
금빡이,2022-09-06 18:44:46-07:00,5,0,굿,잘 모아져있음 간편함
응ㅇ응으으으으으ㅡㅇ,2022-09-05 12:13:26-07:00,5,0,존나좋아요,진심 개좋음
우끼끼까,2022-09-03 17:22:20-07:00,5,0,빠른 배송 너무 좋습니다.,빠른 배송 너무 좋습니다.
유나나나아,2022-09-01 07:52:15-07:00,5,0,정말 좋아요,할인도 많이 하고 좋네요
@Wjd948474,2022-09-01 07:43:30-07:00,5,0,ㄴㄴ,ㄴㄴㄴ
머스트잇최악,2022-08-31 19:10:18-07:00,1,0,머스트잇 시스템 최악,"판매자 관리좀 제대로 해주세요
구매한지 한달 넘어서 상품 받았고 환불 불가한 상품이라 어쩔수 없이 손해보고 매물 내놨습니다..
제품만 빨리 왔어도.. 환불 가능한 시스템만 잘 구축해놨어도 제가 손해를 봤을까요?
요즘 명품 판매 하는 곳들 많아지는데 머스트잇은 앞으로 절대 사용 안할겁니다"
junjjangjjang,2022-08-28 23:03:08-07:00,5,0,Junjjangjjang,Good
별걸다,2022-08-25 16:44:36-07:00,5,0,좋음,정보도얻고 각격도좋고 자주사용중
baseoff,2022-08-25 03:09:01-07:00,1,0,어플켤때,"어플켤때 이엘 나오는거 못가리나요?
안그래도 요즘 말 많은데 내 핸드폰에서까지 봐야되나 싶어서요..."
유유융ㄴ,2022-08-22 00:32:31-07:00,4,0,좋아요~~,믿고 구매할수있는거같아요!! 선물하기도 좋아여
점쟁최공,2022-08-21 20:40:04-07:00,1,0,여기는 관리를 전혀 안하나봐요,"가방을 구매하고 다음날 문자 온게 검정 가방은 품절이니 다른 색 가방 안할거면 반품해라 라고 왔습니다 
사과 한마디도 없이 
품절이면 사이트에는 왜 판매중이냐니까 아직 수정을 안해놨다네요? 왜요? 사이트에 명품 종류 많게해서 고객층을 늘리고싶으세요? 살수있는 가방이 없는데요? 
사과 안하시네요"
달양아,2022-08-18 05:11:11-07:00,5,0,달양다아가라라ㅏㅗ노유튜유오더,ㅠ도어어ㅓㅗ류
감자사기굿,2022-08-09 18:08:38-07:00,5,0,좋아요,할인도 많고
꽉끼는,2022-08-08 22:09:25-07:00,4,0,좋아요,"하이엔드 살때마다 사용하는 앱인데 넘 좋습니다. 정품만 취급하고, 등록된 제품도 많고 핫딜도 많아용. 좋습니당"
서윗한남동주,2022-08-08 03:56:45-07:00,4,0,굳,굳
유찐쨘,2022-08-07 20:21:23-07:00,5,0,쪼아염,여기가 다른 곳보다 할인을 더 많이 해줘요 글구 다른 곳 보다 제품이 많아서 좋아요ㅠㅠ 진짜 메종키츠네 모자 잘 안팔고ㅠ종류도 별로 없었는데 여기는 있어요 🥰
도온돈,2022-08-07 07:29:11-07:00,1,0,발란보다 더 악질,"싸다고 홍보를 해놓고 들어가보니 배송비 4만원ㅋㅋㅋ진짜 토악질나온다. 니들이 발란보다 더 악질이다. 
이럴거면 할인은 왜 한다고 지랄하니ㅋㅋ 
역겹다 머스트잇"
뚠뚠잇,2022-08-03 22:58:26-07:00,5,0,리뷰귀찮아서 안쓰는데,머스트잇 진짜 좋네요 어떤 어플과 비교해도 최저가입니다..정품 보장도 되고 너무 좋아서 1일 1머스트잇 아이쇼핑중이에요 이번에 크림에서  조던 시켰는데 판매자가 간보면서 안보내길래 머스트잇 검색했더니 훨 가격이 저렴하네요 맘같아선 취소하고 머스트잇에서 사고싶네요 앞으로 선물이든 구매든 머스트잇만 이용하렵니다 짐짜 좋아요
훈앙기,2022-07-31 23:14:52-07:00,5,0,좋아요,가지고 싶은 명품이나 브랜드 의류가 거의 다 있어서 정말 좋아요! 앞으로도 잘 쓸꺼 같아요!
쑤마콩,2022-07-31 20:20:24-07:00,3,0,쓸만해요,앱 보기도 편리하고 괜찮아요
bros noch21,2022-07-24 19:36:24-07:00,5,0,I love it,I like it
머스트잇매니아,2022-07-22 00:24:42-07:00,5,0,굿,구우웃
키위쥬스스,2022-07-19 17:24:23-07:00,5,0,Good,좋아요
학부모닷,2022-07-18 23:04:36-07:00,5,0,좋아요,잘 이용하고 있어요
족같은hrd넷,2022-07-18 13:57:56-07:00,1,0,1점도 안주고싶어요 물건 살라해도 로그인이 안됨,카톡 인증하는데 확인이 안눌려서 껐다 켰다만 몇십번하는데 안되네요 망할 걍 발란이나 쓸랍니다
영용아,2022-07-18 01:44:53-07:00,5,0,짱 좋은앱이에요,편하고 좋아요!
King7089,2022-07-10 21:15:50-07:00,5,0,좋습니다,골프 웨어 살때 애용하고있어요
양현ㅇ,2022-07-10 08:09:19-07:00,5,0,굿,굿
파라다2스,2022-07-09 07:08:02-07:00,5,0,좋아요,좋아요
평검사,2022-07-09 05:55:47-07:00,5,0,앱~~ good ^^;,"앱~~ , 좋아요 !"
안녕종자,2022-07-05 22:17:38-07:00,5,0,조아여,느린것도없고 배송상태표시도 빠릅니다
ㅇㄹㅎㅗㅎㄹ,2022-07-04 22:00:24-07:00,3,0,내부 메뉴 이동시  계속 오류 발생,내부 메뉴로 이동시  오류 코드만 보입니다...
행돈,2022-07-04 17:09:58-07:00,5,0,간편합니다,쇼핑하기 간편하고 원하는 브랜드가 많아서 좋아요
전현우사원,2022-07-01 22:27:20-07:00,5,0,굳,파정
구봉쓰,2022-06-30 17:17:14-07:00,5,0,쇼핑은 머스트잇,오졌다리 지렸다리 레전더리
강북멋쟁의,2022-06-29 00:25:56-07:00,5,0,강북멋쟁의,굿
ㅎ.ㅆ.ㅆ.ㅆ.ㅎ.,2022-06-26 18:26:43-07:00,5,0,좋아요,좋아요
어함마,2022-06-25 04:30:26-07:00,5,0,좋아여,사이즈 체형에 맞게 잘 나와있네요
bgj0921,2022-06-22 08:20:08-07:00,4,0,명품온라인쇼핑,명품을 믿고 온라인으로 구매 할 수 있어 좋음
🤗😏🥲,2022-06-21 05:28:50-07:00,5,0,너무 좋습니당,❤️
jozosoo,2022-06-19 22:36:54-07:00,5,0,좋아요,저렴한 가격에 잘 구매했어요
어ㄱㄴㅗ루,2022-06-14 00:38:40-07:00,5,0,편하게 쇼핑하기 좋은 앱,정리도 잘되어있고 쇼핑하기 편해요
블루딜,2022-06-12 23:13:08-07:00,3,0,그냥저냥 쓸만함,큰기대는 하지마시고 그냥저냥 적당한넘들 구매하기 나쁘지 않아요
공우띠,2022-06-10 10:53:28-07:00,5,0,good,포인트적립 잘되고. 다양한 상품이 있음
jw0504,2022-06-09 18:01:59-07:00,5,0,요즘 불편한거,다 좋은데 저번처럼 남자옷 여자옷 구분해줬으면 좋겠어요
dchan0,2022-06-06 18:02:47-07:00,5,0,굿,국긋
gaia502,2022-06-03 03:59:46-07:00,5,0,앱 다운 후,"앱 다운 후 매일 습관처럼 보게되요
다른곳보다 싸서 좋아요"
드바스크,2022-06-02 21:56:18-07:00,5,0,굿,굿굿굿굿
lolppkkan,2022-05-29 10:04:49-07:00,5,0,Z,Zzz
dlghktjr4444,2022-05-29 04:27:49-07:00,5,0,Good,Good
히허허후,2022-05-28 22:51:01-07:00,5,0,ㅎ,ㅎㅎㅎㅎㅎㅎ
오모나우헤헤,2022-05-26 23:12:24-07:00,5,0,굳,정품 판매 좋아요
최코트,2022-05-23 22:27:05-07:00,5,0,ㅇ,ㅇㅇ
방랑23세,2022-05-19 19:56:46-07:00,2,0,자동 로그인,"맨날 들어갈 때 마다 풀리네요..
아이폰 13미니 사용중입니다. 2년 전부터 쭈욱 예전부터 계속 이래요"
겨누짜응,2022-05-18 21:22:56-07:00,5,0,굿굿,재고도 많고 구하기 쉬워서 좋네요
moon36**,2022-05-18 19:53:31-07:00,5,0,좋아요!!,"이 판매자분이 금액이 가장 좋네요. 
배송도 빠르고 단골하겠습니다."
부산 갈치,2022-05-14 15:47:35-07:00,5,0,가격 싸고,"물건이 많고 
정확!!!"
김코미테,2022-05-14 06:02:19-07:00,5,0,필웨이 보다 머스트잇,필웨이 보단 머스트잇
쩡이언니와아찌,2022-05-11 08:13:54-07:00,5,0,편해요,굿굿
펴ㅑㅓㅜ룓ㄴㄴㅇ((,2022-05-11 07:48:53-07:00,5,0,굿,굿굿
정미루,2022-05-06 00:09:41-07:00,5,0,갠춘,갠춘
아아양야야어노뇨뮤,2022-05-05 19:26:21-07:00,5,0,오노오너ㅓ다댜,ㅎㄹㅇㅋ
realotus,2022-05-03 04:30:04-07:00,5,0,만족스러운 구매입니다.,"토요일에 주문했는데 화요일에 도착했습니다.
제품 포장도 꼼꼼히 잘 돼 있었고, 제품 상태도 좋았습니다. 크기는 생각했던 것보다 작아보였지만, 핸드폰, 팩트, 차키, 카드 등  평소 잘 갖고 다니는 소지품 정도는 다 들어가서 데일리로 어디든 들고 다니기에
괜찮을 것 같습니다."
