,date,dateYear,dateMonth,dateDay,rating,userName,content
0,20230914,2023,9,14,2,이혁준,You z in I थ्व बद्रीनारायण थ शब सकल थ रबz u.रथथ ख रठफ च.त। ...k.7..kbs tदड
1,20230914,2023,9,14,5,김대은,굿
2,20230909,2023,9,9,3,김선례,송미
3,20230908,2023,9,8,1,김S,앱에서 11주년 쿠폰다운안됨
4,20230908,2023,9,8,5,junghyun lee,굿
5,20230903,2023,9,3,5,김선한,"빠른배송, 다양한 할인상품, 믿을수잏는제품등이 좋아요"
6,20230902,2023,9,2,4,이해미,저렴한 가격에 명품을 살 수 있어서 강추^^
7,20230901,2023,9,1,5,박수연,"빠른 배송, 좋은 상품 👍"
8,20230828,2023,8,28,5,진미진,황영웅씨새신곡김수희새신곡조관우새신곡진시모새신곡진성새신곡드라마영화주제곡빌리드경음악유튜음악
9,20230828,2023,8,28,1,내이름은버거.킹이죠.,알람 다꺼놨는데 알람자꾸와서 짜증나서 삭제함
10,20230826,2023,8,26,2,DEAN winchester,앱 알림설정을 껐는데 왜 자꾸 광고 알림이 올까요? 한 번만 더 오면 그냥 앱 삭제하려고요 --------- 아래 보니까 앱설정 확인하라는 답변이 있길래 추가합니다. 앱설정: 수십회 확인 앱버전: 최신버전 확인 기종: 갤럭시S 22 플러스
11,20230817,2023,8,17,5,김은아,옷이좋아요 재질도
12,20230816,2023,8,16,1,Water_way Park,다른사람들도 같은 현상이 일어나고있는데 회원가입해서 물건 사고 배송만 기다리고 있는데 마이페이지가 몇번이고 안들어가져서 앱 삭제하고 다시깔아서 로그인하는데도 계속 실패하네요 해결되었다고 다른 리뷰 답변 봤는데 해결이 전혀 안됐네요 이건 어쩌라는거죠? 물건 사놓고 뭐 로그인조차 못하고 실패하고 제 물건은 어찌하라고 이런 상황이 벌어지죠? 한두푼 하는 것도 아닌 명품을 구매한 상태에서 배송 받기 얼마 남지도 않은 상황에 이런일이 벌어지면 소비자는 무얼 믿고 머스트잇을 사용하나요? 빠른 조치 부탁드립니다.
13,20230813,2023,8,13,1,조미,회원가입하고 물건삿는데 그뒤로 카톡으로 로그인이 왜 자꾸 실패하는건지 짜증남
14,20230813,2023,8,13,1,d dydy,카카오톡 네이버 연동 로그인이안됩니다!
15,20230812,2023,8,12,5,송선동,굿
16,20230812,2023,8,12,5,Na Da,"가격이 천차만별이긴 하지만 다 정품이라서 걱정안되고 제품에 따라 다르지만 크림은 배송비,수수료 무조건 붙지만 머스트잇은 아니고 일부제품은 가격면에서 크림보다 괜찮다고봄 하지만 대화주문 같은경우나 판매자 전화는 거의 연결안된다고 보면되고 검색하면 나오는 창이 너무 조잡함 리뷰보면 로그인 문제 많던데 현재는 다 개선된거같음"
17,20230808,2023,8,8,5,진희정,사용하기 편리하고좋네요
18,20230805,2023,8,5,5,백승호,좋아요
19,20230720,2023,7,20,5,김형래,좋아용
20,20230716,2023,7,16,5,조재호,좋아요~^^
21,20230715,2023,7,15,5,반수생,명품 살 때 유일하게 믿고 쓸 수 있는 곳
22,20230715,2023,7,15,5,서지훈,굿~
23,20230709,2023,7,9,2,87tkfkd,ㆍ는드 듣주ㅈ읃스ㅡㅈ ㅇㅈㄷ ㅇㄹㆍㄴㅇ즈듯븡
24,20230707,2023,7,7,2,김하나,인터넷에 구할수 없는 물건 찾기는 좋음 그런데 반품 관해서는 콜센터에 몇번이나 전화해서 진행했는지 모름 네이버나 쿠팡 반품 시스템은 못따라 반품 절차가 불편해서 두번 이용이 꺼려짐
25,20230629,2023,6,29,5,노해연,다른데보다 가격이 저렴한듯요
26,20230628,2023,6,28,5,돌멩이부산 작은,😃
27,20230622,2023,6,22,5,이진혁,싸요
28,20230619,2023,6,19,5,뿡짜아,굿
29,20230618,2023,6,18,5,정경수,7712키
