,platform,store,date,review,rating,category
0,mustit,google,20230914,굿,5,전반적인 만족도&기타
1,balaan,google,20230914,자주 이용하지는 않지만 기분전환으로 조그만거 하나씩 사고 있어요..! 생일선물 살때도 괜찮아요 포장이 안돼서 오는게 좀 그렇지만 가격이 싸니까 직접 포장해서 줘요,5,"가격&프로모션, 상품 품질"
2,balaan,google,20230914,앱깔고 눈팅만 하다가 전부터 사고싶던게 특가로 떠서 샀어요ㅎㅎ산 물건에 비해 너무큰 상자에 담겨와서 당황했지만 물건은 안전하게 와서 다행~~,5,"가격&프로모션, 상품 구색"
3,balaan,google,20230914,매장가보다 저렴해서 놀랐어요!!!회원갑쿠폰쓰면 더저렴하고요!!구경하다보면 시간가는줄몰라요 특가행사도 조은거 많드라구요 잘이용하고 있어요!!,5,가격&프로모션
4,balaan,google,20230914,상품보기 편하게 구분되어 있어서 구매하는 입장에서 쇼핑하기 조음 국내에서는 구하기 어려운 아이템도 볼수있음 검수영상 보내줘서 만족 일부러 백화저 갈 시간내지 않아도 되니 시간절약,5,"정품 안전성, UX/UI 편의성, 가격&프로모션, 상품 구색"
5,balaan,google,20230914,인스타광고보고 접속했는데 사려고했던 아이템말고도 더 마음에 드는게 많아서 절제하느라 혼났어요ㅎㅎ 정품보장 믿고 삽니다 가격이 싸니까 매장에서 못사겠어요ㅠㅠ,5,"정품 안전성, 앱 오류, 가격&프로모션, 상품 구색"
6,balaan,google,20230913,완전 특템 했어요 ㅋㅋ 한정수량이라 못살줄 알았는데 사서 기분 너무 좋네요 내일 이거 입고 데이트 가려고 합니다ㅋㅋㅋ 발란 짱이였어요,5,상품 구색
7,balaan,google,20230913,안좋은 말들이 많아서 발란서 못샀었는데 친구가 가방 하나들였길래 어디서 샀냐 물어봤더니 여기라고 했네요ㅎ 친구 자기 발란에서 종종 산다는 말 듣고 저도 발란에서 잘 사고 있어요ㅎ,5,전반적인 만족도&기타
8,balaan,google,20230913,랭킹 구경이 너무 재밌어요 ㅋㅋㅋ 발란에서 벗어나기 힘드네요 ㅋㅋㅋ 계속 예쁜거업뎃 빨리 해주세요!ㅋㅋ,5,"UX/UI 편의성, 앱 오류, 상품 품질"
9,trenbe,apple,20230913,렉이 넘 심해요 상품 하나 구경하고 뒤로가기하면 렉걸려서 다시 처음부터 봐야하는데 이게 너무 불편해요,3,"UX/UI 편의성, 앱 오류"
10,balaan,google,20230912,직구하려는데 도통 어려워서 발란까지 왔어요 회원가입 쿠폰쓰니까 꽤 저렴해지더라고요? 덕분에 버버리 가방 기분좋게 샀어요,5,"가격&프로모션, 상품 구색"
11,balaan,google,20230912,관부가세 배송비 모두 포함이라 따로 계산하지 않아도 되니 조아요 문의도 친절히 대답해주시고 배송이 좀 늦어져서 짜증낫었는데 다행히 물건 양품으로 받아서 다음에 또 이용하려고요 감사,5,"가격&프로모션, 배송, 상품 품질, 고객센터"
