USER,DATE,STAR,LIKE,TITLE,REVIEW
해진여신,2023-09-13 20:34:55-07:00,3,0,다 좋은데,렉이 넘 심해요 상품 하나 구경하고 뒤로가기하면 렉걸려서 다시 처음부터 봐야하는데 이게 너무 불편해요
10년 케이티,2023-09-07 23:42:21-07:00,4,0,내부 가격 비교 너무 좋아여,살때 어디가 싼지 알수 있어서 좋네요
나는 뽀송이,2023-08-29 14:07:28-07:00,3,0,새 상품만 보는 필터,"제품이나 브랜드 검색했을 때 윗 필터 상단에 ‘중고 상품만’ 카테고리 말고 새 상품만 검색될 수 있는 버튼 좀 만들어 주십쇼
애초에 새상품 구매하는 소비자가 훨씬 많을 거 같은데 뭣하러 중고 상품 버튼을 만든 지 모르겠습니다
차라리 중고만 파는 마켓을 따로 빼던지 하는게 나을 거 같습니다."
가입하고싶은데,2023-08-15 22:12:12-07:00,5,0,장사 이딴식으로 하지마세요,"제가 신발하나 구입을 했는데
예상 배송일이 16-18일 걸린다 적혀있고 
상세페이지에는 코로나때문에 17일 이상 걸릴수도있다고 적혀있었습니다. 8/2 일에 주문을 했고 8/16일 오늘에서야 검수 센터로 넘어왔다고 하네요. 검수하고 통관하고 한국으로 넘어와서 배송하고 대체 언제 배송이되는건가요?(지금 코로나로 핑계될 시기는 지나지않았나요?) 환불 하려고 했더니 이건 배송 지연문젠데 소비자 책임으로 넘겨서 수수료를 약 10만원이나 떼가는 악덕 중개 플랫폼이네요 어처구니가 없습니다."
우는사슴,2023-08-08 04:47:04-07:00,1,0,주문하고 몇 분만에 준비중으로 넘어가도 27500원을 내라는,주문하고 몇 분만에 준비중으로 넘어가도 27500원을 내라는 양아치 쇼핑몰이니 꼭 참고하시기 바랍니다. 참으로 시대에 역행하는 앱이네요. 어차피 명품 살 데도 많은데 딴 데 가서 사려고요. 이렇게 해서 광고비 버나 본데 이런 비열한 회사는 돈 벌게 하면 안 된다고 생각합니다. 열 받아서 리뷰 처음 써 보네요.
흐하핳ㅎㅎㅎㅎㅎ,2023-06-16 03:55:35-07:00,1,0,셔플은 무슨,"여기서 지원하는 셔플이라는 서비스가 내가 중고로 트렌비에 판 명품백 금액을 제외 시키고 구매하는 구조인데, 쓰던 명품백 셔플 신청하고 이미지 검수 완료되면, 트렌비에 있는 모든 상품 가격이 갑자기 급 올라가 있음. 그러고선 밑에 셔플가: 얼마 이런 식으로 써놓는데, 서버에서 셔플 신청하면 세일가 내리게 되어있는건지 뭔지 모르겠지먼 급 가격 상승시키고 셔플가로 사라고 함. 그냥 중고 명품백 하나 꿀꺽한 수준 아님? KreXX이랑 무슨 4,50 차이 나는 제품도 허다하고, 아니 중고 명품 셔플 신청하니까 트렌비 전품목 가격 상승시키는 이 구조를 설마 사용자가 모를 거라 생각하는건가...??;;;; 아 다 떠나서 그냥 이런 앱에 내 명품백 하나 갖다준게 싫네요;"
호야공공일,2023-06-02 09:52:50-07:00,1,0,인생에 있어 처음으로 리뷰 남기는 앱... 근데 별점도 주기 싫다..,"하아.. 이렇게 리뷰를 남기기도 싫은데 정말 고객 센터에 전화할까하다 뭐 바뀔 것도 없고 처음으로 리뷰남기고 탈퇴하겠습니다... 처음으로 리뷰를 남기는 건데 좋지 못한 리뷰를 하게 되어 유감이네요..

제품 구매하고 한달동안 배송준비하다 갑자기 제품없다고 취소 통보 받았네요.. 구매현황에는 해외배송준비중으로 되어 있어서 꾸역기다렸는데 알고보니 상품도 없다라... 상태 표시도 잘못되어 있고 한달이라는 시간동안 기다린 고객한테 제품을 구할 수 없어 취소해야 한다고하면 다인건가요?? 이제 장마철다가와서 지금 제품을 구할 수도 다른 브랜드 제품도 구할 수 없는상황에 리세일은 제가 트랜비 통해 구매했을 때보다 2.5배가 뛰었는데... 진짜 이거 너무한거 아닌가요?? 한달을 그래 뭐 좀 오래걸리나보지하고 기다린 고객한테 한마디 말도 없다가 갑자기 취소통보하는거 정말아니지 않나요???"
천의상도,2023-05-08 00:02:33-07:00,1,0,회원가입,회원가입하려는 버튼만 누르면 그화면에서 멈춰서 아무것도 작동이안돼요
페어리훈,2023-04-26 01:22:51-07:00,1,0,운영방식이 짜증남,1. 런칭 초기에 개인 정보 털렸는데 아무런 보상 없었음. 그래놓고 옥외광고 겁나 열심히 돌림. 2. 디젤 롱슬리브 있지도 않으면서 현지 바잉 한다면서 계속 실패하고 환불함. 못 구하면 내리던가.
좋야용,2023-04-20 03:32:04-07:00,4,0,버그 수정,버그 수정하여 업데이트 부탁드립니다
rimemom,2023-04-17 06:10:16-07:00,1,0,낚시질 하는 중개플랫폼 이젠 영원히  안녕!,"직구만 무려 4번째 지들 맘대로 결제했다 취소했다가를 반복하고, 첨단 CS도입 했답시고 쳇봇으로 제품품절이라 불가피하게 취소한다, 현지 아울렛에 물품이 없다고 한다, 현지 제품 가격이 올라 돈 더 입금해야 구매가능하다….등등 아주 멍멍이 갑질 제대로 당하다 이젠 내가 너무나 짜친 너를 버린다!"
핑스쿠,2023-03-23 06:19:52-07:00,1,0,B머니,적립금이 다 사라졌어요 뭐죠?
트렌비애미뒤진년,2023-02-23 12:02:59-07:00,1,0,30만원 쿠폰 준다해서 쳐 다운 받아놨더니 주는게 없네? 현피 뜰래요 ?,솔직히 니넨 별주기도 아까워 대가리 텅텅빈 광고 효과 죽2고 싶다 ㅎㅎ 안줄꺼면 광고 쳐 하지마 멍청한새2끼야
ㅇㅇㅇㅎ노너,2023-02-22 22:29:09-07:00,1,0,트렌비 이용하지 마세요,새상품탭에서 주문했는데 중고상품이라고 연락왔습니다
상햐햐햐,2023-02-20 03:41:45-07:00,1,0,사기당한느낌이에여,고가 명품브랜드 지갑 새제품이라고해서 주문했는데 팩킹상자 부터 더스트백까지 다 헤져있고 물론 본품엔 스크레치에 생활가스흔적 오염까지 있는데 트렌비에서는 문제없다고 하더라구요 다신 이용못할 곳이에요
Min b mama,2023-02-06 20:56:35-07:00,1,0,너무 불편한 앱이네요,사진찍어 모든걸 100프로 판정을 할수는 없지만 규칙이나 복잡한 위약금형식으로 너무 불편하고 불쾌한 플랫폼입니다.앞으로 다시 이용 하고싶지 않네요
