,date,dateYear,dateMonth,dateDay,rating,userName,content
0,20230912,2023,9,12,1,처로로,"욕이 아까울정도로 무책임,무성의,무대응 고객을 아주 x으로 아는곳"
1,20230911,2023,9,11,1,안안현주,예전부터 앱 잘쓰고 있었는데 요새들어 로딩이 느려지고 렉도 잘걸려서 화면이 정지가 되어있구 앱사용시 핸드폰에 발열이 일어나요 (다른 어플 사용시에는 핸드폰이 멀쩡합니다)
2,20230906,2023,9,6,2,SEONHWAN CHOI,앱이 진짜 너무 느립니다 서버를 확충해야 되는 지 뭔지 모르겠지만 이용할 때마다 답답....
3,20230902,2023,9,2,1,씨니,"아오 렉이 오지게 걸려서 쇼핑을 할수가없네요ㅡㅡ 앱을 삭제하던가해야지 원,"
4,20230826,2023,8,26,2,RITARITA,스크롤 안 내려가는 오류는 대체 언제 고쳐질까요
5,20230824,2023,8,24,1,nahyun son,밑으로 스크롤이 안됩니다...
6,20230823,2023,8,23,5,박종호,구찌제품은 며품답게 고급지면서 어느의상이나 어느장소에도잘어울리제품이라더욱소장하고싶습니다
7,20230818,2023,8,18,1,정수,여기에서 물건샀는데 얼마 안되서 망가졌어요. 삭은걸 팔아놓고 중고인점 고지됐다는 말만함. 여기서 물건살때 백만번 고민하고 사던지 백화점에서 사던지 해야함.
8,20230812,2023,8,12,2,LEE베짱,상품사진을 보려고 스크롤 하는데 왜 자꾸 사진이 확대 되나요 손만 갖다대면 확대되는거 땜에 스크롤하기 불편해요
9,20230811,2023,8,11,1,안정규,제가왠만해서 리뷰안쓰는데 아마 태어나서 처음일거임 한두푼도 아니고 결제취소도 안돼 상품준비만 몇일몇날 연락도없고 문의도 ai수준 소비자로서 너무답답하고 후회됨 하루하루 그냥 명품샾방문해서 맘편하게사셈 가품진품 고민하지말고 그냥 명품샾 날잡고 가서 사는게 훨씬 맘편하고 오히려더쌈 진짜 최악임 배송부터 결제시작부터 스트레스임 ㅋㅋ 명품사는데 취소가없음 상품도착해서 환불도아니고 결제하고나서 1시간만지나면 결제취소도못하게 막아놓고 그냥 기다릴수밖에없음 소비자를 개xx으로 보는거임
10,20230810,2023,8,10,5,봉식이,처음 깔때는 스크롤에 문제가없는데 그뒤로 두번째 들어가면 몇몇에는 스크롤 이슈가 발생합니다 오류 빠르게 업데이트하여 고쳐주세요 요번 업데이트 이후로생긴 버그같은것 같습니다 감사합니다.
11,20230807,2023,8,7,3,신경숙,ㅏ2ㅔ니ㆍ
12,20230725,2023,7,25,3,hanna choi,트렌비잘사용하고있었는데 어느순간부터 검색시 스크롤이안되요.. 저만그런건지.ㅠ
13,20230720,2023,7,20,1,쨈물,스크롤이 내려지지 않음
14,20230709,2023,7,9,1,은에셋,업뎃 십분째 ㅜ
15,20230616,2023,6,16,1,조jeremy,앱 사용하기에는 타의 추종을 불허. 깔끔하고 보기좋음 커스토머서비스? 거지같음. 이런식으로 모든걸 고객잘못돌리고 우린 잘못없음 그러니 수수료도 니가물고 택배비도 니가물고 기분나쁘면 그냥 쓰세요식으로 할거면 셔플서비스 중고거래서비스 하지 말아야됨. 여기서는 그냥 무조건 새것만 사면문제없음.
16,20230609,2023,6,9,1,구미불나방,상담원 불친절 가품많은데 가품오면 보상안된다고해서 바로 삭제했음 남자상담원이 로봇트라고 함 조심조심
17,20230601,2023,6,1,5,박경훈,좋은제품 상세히 설명하네요
18,20230526,2023,5,26,5,송민선,좋습니다
19,20230509,2023,5,9,1,min kim,앱이 문제가 아니라 쇼핑몰이 완젼 사기꾼임. 고객 우롱하고 거짓말 투성이고. 여기서 파는 물건에 대한 신뢰까지 없어짐. 진짜 웃기지도 않은 쇼핑몰.
20,20230427,2023,4,27,4,윤태영,싸게 잘 샀어요
21,20230424,2023,4,24,1,TEZZ SONG,최악의서비스와 관리시스템
22,20230323,2023,3,23,1,한지원,이제 절대 안씁니다. 주문취소할 때 고지도 안해주고 간단히 취소되게 해놨으면서 상품당 27500원씩 수수료를 내야하네요. 상품 엄청 오래걸려서 받을 준비하고 주문하시거나 환불은 절대 하지마세요. 고객센터도 조치해달라니까 말을 씹어버리네요ㅋㅋㅋㅋㅋ어이가 없네요 정말. 수수료 장사 잘하세요
23,20230323,2023,3,23,1,yoon13,트렌비 변색된 옷 보내서 컴블레인 걸었더니 접어서 생긴 주름이라고 글만 남기고 담당자랑 통화 안 됨 ㅋㅋㅋㅋ 망해봐야 정신차리지~ 소비자센터에 고발했음 !!!
24,20230322,2023,3,22,1,ᄋ니모오,이거 주문하고 바로 취소해도 수수료3만원돈 나감 발송도안했는데 주문받으면 무조건나감
25,20230315,2023,3,15,5,이영경,첫 구매중 입니다! 좋은 브랜드를 좋은가격에 구매할수 있어서 좋아요!!!
26,20230314,2023,3,14,1,G R,반품 제품 다시 재판매하나요? 정말 열받게 하는 쇼핑몰이네요
27,20230223,2023,2,23,1,이소연소연,"신발구매하고 하자가있어 반품신청했더니 유약처리로인해 반품이 불가능하다고하네요,여부확인없이 반품도 안해주는건 아니지않나요?"
28,20230221,2023,2,21,1,진은수,"오래걸려도(한달) 어떠한 조치도 없고, 취소하려고 해도 아직 상품 구하지도 못했으면서 취소도 못하게 만들어 놓음. 이럴꺼면 도대체 왜 구매대행이라는지,,, 이시간에 차라리 외국 나가서 사오는게 더 싸고 합리적이겠네,, 업체 관리가 아주 개판임 차라리 다른어플로 이사가는게 정답임"
29,20230208,2023,2,8,5,이영아,조아요
30,20230204,2023,2,4,5,백백수정,👍 👍 👍 👍 👍 좋아요
31,20230201,2023,2,1,1,롸미,여기 상품반품비로 먹고사는 업체인것같습니다. 명품 멀쩡한거 여러개 현금매입으로 신청해서 줬는데 위탁으로 돌린다고하더군요.그래서 난 위탁안하겠다.라고하니까 그럼다시 니물건을 보낼테니 착불비 내라고하더라고요.나쁜놈들
32,20230126,2023,1,26,5,백진주,아주 기능이 좋습니다
33,20230126,2023,1,26,3,Moonie무니,잘 사용하고 있고 실제로 가방 하나 사서 잘 쓰고 있어요 왜 장바구니 물건들 바로 팔렸는지 안 팔린건지 못 보게 해놓는건가요?? ㅡㅡ
34,20230124,2023,1,24,5,김선한,상품이 다양해서 좋았어요 할인상품이 다양해서 좋았어요
